source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1k-shevchenkvskiy-r-n-m-dorogozhich-vul-telgi-57-ID10wia5.html?search_reason=search%7Corganic,9000,UAH,203.31,0,,,Шевченківський,Сдам 1к Шевченківський р-н м Дорогожичі вул Теліги 57,,9 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zhk-yaskraviy-kvartira-orenda-65m2-kulzhenkv-35-ID10xec6.html?search_reason=search%7Corganic,24000,UAH,542.16,1,65,8.34,Оболонський,ЖК Яскравий квартира оренда 65м2 Кульженків 35,65м2,24 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-zhk-parkove-msto-kiv-bez-ID10AqwH.html?search_reason=search%7Corganic,42000,UAH,948.78,1,,,Подільський,"Оренда 2к квартири ЖК Паркове місто, Київ, без %",,42 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-vozle-raduzhnogo-ozera-hozyain-ID10zFW2.html?search_reason=search%7Corganic,9000,UAH,203.31,1,,,Дніпровський,"Сдам 2-х комнатную квартиру возле Радужного озера, хозяин",,9 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-svoyu-1k-kvartiru-zhk-slavutich-ID10zFqk.html?search_reason=search%7Corganic,30000,UAH,677.70,0,,,Дарницький,Сдам свою 1к квартиру ЖК Славутич,,30 000 грн.Договірна
olx,https://www.olx.ua/d/uk/obyavlenie/stilna-studya-na-chavdar-13-metro-osokorki-ta-poznyaki-10-hvilin-generator-ID10zGEZ.html?search_reason=search%7Cpromoted,15000,UAH,338.85,0,,,Дарницький,Стильна студія на Чавдар 13 - метро Осокорки та Позняки 10 хвилин - генератор,,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/bez-koms-dizaynerska-3k-zhk-libd-persha-zdacha-golosvskiy-rayon-ID10ppyH.html?search_reason=search%7Cpromoted,53151,UAH,1200.68,2,,,Голосіївський,БЕЗ КОМІСІЇ! Дизайнерська 3к ЖК Либідь|Перша здача|Голосіївський район,,53 151.69 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartira-podl-metro-kontraktova-ploscha-ID10wdl5.html?search_reason=search%7Corganic,30000,UAH,677.70,1,,,Подільський,"Оренда 2к квартира  Поділ, метро Контрактова площа",,30 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/komfort-taun-berezneva-16-3-pov-stilna-1-kmnatna-ID10yIG6.html?search_reason=search%7Corganic,15000,UAH,338.85,0,,,Дніпровський,"Комфорт таун, Березнева 16, 3 пов, стильна 1 кімнатна",,15 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/sdam1kom-kvartiru-metro-borispolskaya-harkovskaya-blizhayshee-15minut-na-marshrutke-hozyain-ID10vvjt.html?search_reason=search%7Corganic,7500,UAH,169.42,0,,,Дарницький,Сдам1ком квартиру метро бориспольская харьковская ближайшее 15минут на маршрутке  хозяин,,7 500 грн.
