source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
flatfy,https://flatfy.ua/redirect/4689893476,1013,USD,1013.00,2,95,10.66,Осокорки,"3 кімнати, 95 / 75 / 18 м², поверх 4 з 10, з ремонтом, блочні, 2017, сьогодні о 21:14, Створено сьогодні о 21:14",95 м²,$ 1 013
flatfy,https://flatfy.ua/redirect/4688364574,372,USD,372.00,0,30,12.40,Голосіївський,"1 кімната, 30 / 10 / 10 м², поверх 18 з 26, з ремонтом, блочні, 2021, сьогодні о 13:01, Створено сьогодні о 13:01",30 м²,$ 372
flatfy,https://flatfy.ua/redirect/4687887587,676,USD,676.00,0,40,16.90,Нивки,"1 кімната, 40 / 15 / 18 м², поверх 10 з 16, з ремонтом, блочні, 2021, сьогодні о 12:48, Створено сьогодні о 12:48",40 м²,$ 676
flatfy,https://flatfy.ua/redirect/4688107650,372,USD,372.00,0,35,10.63,Мінський,"1 кімната, 35 / 13 / 13 м², поверх 1 з 9, з ремонтом, цегляний будинок, 1998, сьогодні о 11:35, Створено сьогодні о 11:35",35 м²,$ 372
flatfy,https://flatfy.ua/redirect/4689400079,1300,USD,1300.00,2,130,10.00,Царське село,"3 кімнати, 130 / 70 / 30 м², поверх 19 з 23, з ремонтом, цегляний будинок, 2008, сьогодні о 18:38, Створено сьогодні о 18:38",130 м²,$ 1 300
flatfy,https://flatfy.ua/redirect/4688921448,248,USD,248.00,1,45,5.51,Нивки,"2 кімнати, 45 / 30 / 6 м², поверх 3 з 5, без ремонту, панельні, 1965, сьогодні о 16:12, Створено сьогодні о 16:12",45 м²,$ 248
flatfy,https://flatfy.ua/redirect/4673098705,518,USD,518.00,0,65,7.97,Солом'янка,"1 кімната, 65 / 29 / 18 м², поверх 11 з 25, з ремонтом, монолітно-каркасний, 2010, сьогодні о 16:27, Створено сьогодні о 15:13",65 м²,$ 518
flatfy,https://flatfy.ua/redirect/4689529805,451,USD,451.00,2,80,5.64,Святошино,"3 кімнати, 80 / 54 / 13 м², поверх 3 з 3, з ремонтом, цегляний будинок, 1959, сьогодні о 19:21, Створено сьогодні о 19:15",80 м²,$ 451
flatfy,https://flatfy.ua/redirect/4688051855,338,USD,338.00,0,40,8.45,Лісовий,"1 кімната, 40 / 17.5 / 8.5 м², поверх 11 з 16, з ремонтом, утеплена панель, 2004, сьогодні о 11:10, Створено сьогодні о 11:10",40 м²,$ 338
flatfy,https://flatfy.ua/redirect/4688684300,428,USD,428.00,1,64,6.69,Олександрівська Слобідка,"2 кімнати, 64 / 38 / 10 м², поверх 2 з 10, з ремонтом, монолітно-каркасний, 2001, сьогодні о 15:11, Створено сьогодні о 15:02",64 м²,$ 428
flatfy,https://flatfy.ua/redirect/4689452266,316,USD,316.00,0,42,7.52,Відрадний,"1 кімната, 42 / 17 / 10 м², поверх 7 з 10, з ремонтом, монолітно-каркасний, 1999, сьогодні о 18:57, Створено сьогодні о 18:57",42 м²,$ 316
flatfy,https://flatfy.ua/redirect/4687777143,541,USD,541.00,0,43,12.58,Верхня Теличка,"1 кімната, 43 / 23 / 20 м², поверх 23 з 26, з ремонтом, монолітно-каркасний, 1969, сьогодні о 19:57, Створено сьогодні о 09:51",43 м²,$ 541
flatfy,https://flatfy.ua/redirect/4666370712,338,USD,338.00,0,44,7.68,Мінський,"1 кімната, 44 / 18 / 12 м², поверх 11 з 25, з ремонтом, монолітно-каркасний, 2017, сьогодні о 14:27, Створено сьогодні о 14:27",44 м²,$ 338
flatfy,https://flatfy.ua/redirect/4689799010,900,USD,900.00,0,50,18.00,Чорна Гора,"1 кімната, 50 / 20 / 15 м², поверх 12 з 24, з ремонтом, блочні, 2017, сьогодні о 20:50, Створено сьогодні о 20:50",50 м²,$ 900
flatfy,https://flatfy.ua/redirect/4688993104,1200,USD,1200.00,2,77,15.58,Солом'янка,"3 кімнати, 77 / 40 / 12 м², поверх 13 з 19, з ремонтом, цегляний будинок, 2017, сьогодні о 16:38, Створено сьогодні о 16:37",77 м²,$ 1 200
flatfy,https://flatfy.ua/redirect/4688146169,574,USD,574.00,1,77,7.45,Відрадний,"2 кімнати, 77 / 39 / 14 м², поверх 16 з 19, з ремонтом, цегляний будинок, 2016, сьогодні о 14:23, Створено сьогодні о 11:49",77 м²,$ 574
flatfy,https://flatfy.ua/redirect/4688478705,3900,USD,3900.00,1,81,48.15,Нижній Печерськ,"2 кімнати, 81 / 60 / 15 м², поверх 26 з 31, з ремонтом, цегляний будинок, 2023, сьогодні о 13:52, Створено сьогодні о 13:52",81 м²,$ 3 900
flatfy,https://flatfy.ua/redirect/4688463476,4500,USD,4500.00,3,130,34.62,Чорна Гора,"4 кімнати, 130 / 90 / 20 м², поверх 10 з 29, з ремонтом, монолітно-каркасний, 2017, сьогодні о 13:43, Створено сьогодні о 13:43",130 м²,$ 4 500
flatfy,https://flatfy.ua/redirect/4689150278,1400,USD,1400.00,1,94,14.89,Солдатська слобідка,"2 кімнати, 94 / 50 / 15 м², поверх 12 з 13, з ремонтом, монолітно-каркасний, 2013, сьогодні о 17:16, Створено сьогодні о 17:16",94 м²,$ 1 400
flatfy,https://flatfy.ua/redirect/4688991327,800,USD,800.00,0,50,16.00,Нижній Печерськ,"1 кімната, 50 / 18 / 17 м², поверх 12 з 18, з ремонтом, монолітно-каркасний, 2016, сьогодні о 16:37, Створено сьогодні о 16:34",50 м²,$ 800
flatfy,https://flatfy.ua/redirect/4688587813,1300,USD,1300.00,1,68,19.12,Верхня Теличка,"2 кімнати, 68 / 40 / 12 м², поверх 6 з 26, з ремонтом, монолітно-каркасний, 2020, сьогодні о 14:29, Створено сьогодні о 14:29",68 м²,$ 1 300
flatfy,https://flatfy.ua/redirect/4616961413,563,USD,563.00,1,50,11.26,Оболонь,"2 кімнати, 50 / 12 / 38 м², поверх 3 з 9, з ремонтом, панельні, 1974, 14 травня, Створено 14 травня",50 м²,$ 563
flatfy,https://flatfy.ua/redirect/4687289375,1000,USD,1000.00,2,90,11.11,Нова забудова,"3 кімнати, 90 / 55 / 20 м², поверх 2 з 5, з ремонтом, цегляний будинок, 1958, сьогодні о 07:13, Створено сьогодні о 07:13",90 м²,$ 1 000
flatfy,https://flatfy.ua/redirect/4687295408,541,USD,541.00,0,51,10.61,Північно-Броварський,"1 кімната, 51 / 20 / 15 м², поверх 20 з 26, з ремонтом, монолітно-каркасний, 2017, сьогодні о 07:18, Створено сьогодні о 07:18",51 м²,$ 541
flatfy,https://flatfy.ua/redirect/4688253095,541,USD,541.00,1,64,8.45,Сирець,"2 кімнати, 64 / 28 / 13 м², поверх 2 з 20, з ремонтом, блочні, 2020, сьогодні о 12:28, Створено сьогодні о 12:24",64 м²,$ 541
flatfy,https://flatfy.ua/redirect/4592689472,361,USD,361.00,1,56,6.45,Харківський,"2 кімнати, 56 / 38 / 9 м², поверх 1 з 9, з ремонтом, утеплена панель, 1987, сьогодні о 12:16, Створено сьогодні о 12:16",56 м²,$ 361
flatfy,https://flatfy.ua/redirect/4688265455,1699,USD,1699.00,2,65,26.14,Нова забудова,"3 кімнати, 65 / 30 / 10 м², поверх 16 з 24, з ремонтом, монолітно-каркасний, 2017, сьогодні о 12:29, Створено сьогодні о 12:29",65 м²,$ 1 699
flatfy,https://flatfy.ua/redirect/4687796378,349,USD,349.00,0,32,10.91,Микільська Слобідка,"1 кімната, 32 / 17 / 4 м², поверх 10 з 26, з ремонтом, монолітно-каркасний, 2018, сьогодні о 10:12, Створено сьогодні о 09:57",32 м²,$ 349
flatfy,https://flatfy.ua/redirect/4687934397,563,USD,563.00,0,51,11.04,Солом'янка,"1 кімната, 51 / 15 / 22 м², поверх 18 з 25, з ремонтом, монолітно-каркасний, 2018, сьогодні о 10:37, Створено сьогодні о 10:37",51 м²,$ 563
flatfy,https://flatfy.ua/redirect/4688845601,192,USD,192.00,0,26,7.38,Голосіїв,"1 кімната, 26 / 18 / 8 м², поверх 1 з 5, з ремонтом, цегляний будинок, 1961, сьогодні о 16:40, Створено сьогодні о 15:54",26 м²,$ 192
flatfy,https://flatfy.ua/redirect/4688515840,338,USD,338.00,0,37,9.14,Берковець,"1 кімната, 37 / 27 / 10 м², поверх 1 з 7, з ремонтом, панельні, 2018, сьогодні о 14:01, Створено сьогодні о 14:00",37 м²,$ 338
flatfy,https://flatfy.ua/redirect/4639722482,1000,USD,1000.00,0,51,19.61,Нижній Печерськ,"1 кімната, 51 / 19 / 15 м², поверх 10 з 24, з ремонтом, монолітно-каркасний, 2018, сьогодні о 12:46, Створено сьогодні о 12:46",51 м²,$ 1 000
flatfy,https://flatfy.ua/redirect/4688319309,518,USD,518.00,1,50,10.36,Оболонь,"2 кімнати, 50 / 29 / 7 м², поверх 1 з 9, з ремонтом, утеплена панель, 1976, сьогодні о 12:48, Створено сьогодні о 12:48",50 м²,$ 518
flatfy,https://flatfy.ua/redirect/4688382799,428,USD,428.00,0,47,9.11,Сирець,"1 кімната, 47 / 37 / 10 м², поверх 14 з 24, з ремонтом, цегляний будинок, 2024, сьогодні о 13:10, Створено сьогодні о 13:10",47 м²,$ 428
flatfy,https://flatfy.ua/redirect/4688570666,338,USD,338.00,0,30,11.27,Харківський,"1 кімната, 30 / 20 / 10 м², поверх 8 з 11, з ремонтом, блочні, 2022, сьогодні о 14:18, Створено сьогодні о 14:17",30 м²,$ 338
flatfy,https://flatfy.ua/redirect/4666880594,631,USD,631.00,0,57.5,10.97,Позняки,"1 кімната, 57.5 / 25 / 20 м², поверх 8 з 20, з ремонтом, монолітно-каркасний, 2007, сьогодні о 18:04, Створено сьогодні о 18:04",57.5 м²,$ 631
flatfy,https://flatfy.ua/redirect/4689536513,304,USD,304.00,0,36,8.44,Борщагівка,"1 кімната, 36 / 26 / 10 м², поверх 2 з 9, з ремонтом, утеплена панель, 1983, сьогодні о 19:23, Створено сьогодні о 19:21",36 м²,$ 304
flatfy,https://flatfy.ua/redirect/4688976155,293,USD,293.00,0,36,8.14,Куренівка,"1 кімната, 36 / 20 / 6 м², поверх 3 з 5, з ремонтом, цегляний будинок, 1967, сьогодні о 16:30, Створено сьогодні о 16:30",36 м²,$ 293
flatfy,https://flatfy.ua/redirect/4687357470,451,USD,451.00,0,45,10.02,Теремки-1,"1 кімната, 45 / 18 / 17 м², поверх 11 з 24, з ремонтом, монолітно-каркасний, 2016, сьогодні о 17:38, Створено сьогодні о 07:37",45 м²,$ 451
flatfy,https://flatfy.ua/redirect/4689124287,541,USD,541.00,0,44,12.30,Подільський,"1 кімната, 44 / 16 / 17 м², поверх 16 з 26, з ремонтом, монолітно-каркасний, 2022, сьогодні о 17:07, Створено сьогодні о 17:07",44 м²,$ 541
flatfy,https://flatfy.ua/redirect/4688650268,563,USD,563.00,2,108,5.21,Позняки,"3 кімнати, 108 / 50 / 35 м², поверх 14 з 20, з ремонтом, монолітно-каркасний, 2007, сьогодні о 14:52, Створено сьогодні о 14:52",108 м²,$ 563
flatfy,https://flatfy.ua/redirect/4689006754,293,USD,293.00,0,33,8.88,Нивки,"1 кімната, 33 / 26 / 7 м², поверх 4 з 5, з ремонтом, цегляний будинок, 1960, сьогодні о 16:46, Створено сьогодні о 16:41",33 м²,$ 293
flatfy,https://flatfy.ua/redirect/4689027471,406,USD,406.00,2,70,5.80,Осокорки,"3 кімнати, 70 / 60 / 10 м², поверх 9 з 10, з ремонтом, утеплена панель, 1997, сьогодні о 16:47, Створено сьогодні о 16:47",70 м²,$ 406
flatfy,https://flatfy.ua/redirect/4688463131,293,USD,293.00,0,30,9.77,Харківський,"1 кімната, 30 / 20 / 10 м², поверх 4 з 11, з ремонтом, блочні, 2022, сьогодні о 19:01, Створено сьогодні о 13:42",30 м²,$ 293
flatfy,https://flatfy.ua/redirect/4631671135,563,USD,563.00,1,72,7.82,Святошино,"2 кімнати, 72 / 39 / 15 м², поверх 3 з 17, з ремонтом, монолітно-каркасний, 2013, сьогодні о 19:27, Створено сьогодні о 15:21",72 м²,$ 563
